County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Limestone County,Alabama,01083,9019,23330,18678,79.7,93052,91324,1728,91324,75143,12468,853,318,0,0,0,1174,517,139,387,25,94,0,12,24,0,0,0,24,1662,1728,572,345,453,27,93052,76728,13240,1314,1668,212,1716,93052,5479,4079,267,49,1084,87573,71554,12405,821,1163,0,1,1629,8,1621,36069,69716,34707,35009,93052,46427,46625,99.6,5223,5431,6697,6304,5103,12048,12731,13888,6605,5299,8319,3977,1427,39.5,21412,74268,71640,68380,16666,13723,71640,35707,35933,99.4,13723,6085,7638
Lowndes County,Alabama,01085,1293,3322,2482,73.9,10236,10160,76,10160,2546,7601,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,16,23,0,3,10236,2619,7654,73,0,0,0,10236,70,18,15,14,23,10166,2505,7586,13,0,0,0,62,0,62,5187,7891,3671,4220,10236,4830,5406,89.3,634,637,662,579,668,1257,1092,1390,822,667,1046,591,191,41.6,2330,8097,7906,7568,2188,1828,7906,3678,4228,87,1828,777,1051
Macon County,Alabama,01087,2426,7368,4704,72.7,19054,18985,69,18985,3025,15740,63,10,0,0,0,50,0,0,13,0,10,0,27,0,0,0,0,0,107,69,15,47,0,1,19054,3088,15762,112,55,0,107,19054,328,266,32,13,17,18726,2972,15583,43,50,0,9,69,0,69,10274,15541,6959,8582,19054,8790,10264,85.6,936,901,958,1858,2266,2059,1744,2172,1295,1323,2155,994,393,38,3411,16058,15643,13766,4283,3542,15643,7035,8608,81.7,3542,1491,2051
Madison County,Alabama,01089,35716,91881,66221,77.6,357560,345719,11841,345719,243835,86012,1975,1197,68,12,2,9073,2045,1659,811,457,1583,1096,1422,324,75,112,71,66,4500,11841,2825,2849,2288,1035,357560,253465,91670,6527,12515,958,5412,357560,17294,10226,2955,718,3395,340266,232115,85293,1847,8992,307,1066,10646,110,10536,159299,269217,129667,139550,357560,174665,182895,95.5,20902,21679,22488,24006,24700,49503,43354,51701,26834,21085,29577,16163,5568,38.5,79195,287944,278365,263800,63095,51308,278365,134368,143997,93.3,51308,22416,28892
Marengo County,Alabama,01091,2672,6536,4786,76.2,19538,19482,56,19482,8855,10518,51,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,56,1,44,0,10,19538,8901,10529,105,0,1,58,19538,115,105,0,0,10,19423,8791,10518,51,0,0,7,56,0,56,10325,14995,6936,8059,19538,9446,10092,93.6,969,1232,1474,1447,893,2243,2306,2538,1278,1468,2047,1287,356,42.7,4468,15703,15070,14211,4576,3690,15070,6976,8094,86.2,3690,1596,2094
Marion County,Alabama,01093,4319,8759,7491,78.6,29965,29454,511,29454,27886,1097,122,89,2,7,0,49,0,6,7,7,1,28,0,0,0,0,0,0,300,511,260,127,27,16,29965,28373,1410,298,124,43,301,29965,752,477,133,0,142,29213,27559,1047,122,49,0,0,436,0,436,14867,23479,11496,11983,29965,14898,15067,98.9,1539,1588,1982,1897,1605,3301,3468,4256,2036,2074,3520,2015,684,44.3,6316,24333,23649,22477,7535,6219,23649,11563,12086,95.7,6219,2737,3482
Marshall County,Alabama,01095,8112,25742,25832,78.4,95145,93444,1701,93444,87887,2456,389,246,0,0,0,570,359,18,77,62,0,44,10,46,42,3,0,1,2096,1701,308,986,140,23,95145,89526,2807,1415,748,65,2308,95145,12961,7841,356,576,4188,82184,77297,2456,334,570,46,90,1391,60,1331,40630,66719,32006,34713,95145,46977,48168,97.5,6536,6165,6974,6167,5659,11658,11594,12484,5987,5980,9402,5016,1523,38.7,23654,74128,71491,68484,19376,15941,71491,34751,36740,94.6,15941,7003,8938
Mobile County,Alabama,01097,45219,115969,88099,74.8,414659,407190,7469,407190,243658,147434,2915,345,0,0,67,8117,535,920,827,326,421,2977,2111,62,31,0,15,16,5004,7469,2338,2386,1003,537,414659,250180,150822,6117,9608,324,5571,414659,11973,4478,2395,598,4502,402686,236987,146600,2872,8117,62,1315,6733,188,6545,183164,310673,145145,165528,414659,197928,216731,91.3,26969,26349,28091,27066,28485,57210,49566,52683,28094,26496,38085,18534,7031,37.6,98337,327952,316322,300501,78959,63650,316322,148085,168237,88,63650,27241,36409
Monroe County,Alabama,01099,3640,6959,5797,78.8,21512,21231,281,21231,11814,8927,346,0,0,0,0,120,44,0,16,4,0,0,56,0,0,0,0,0,24,281,85,50,0,0,21512,12095,9158,542,120,0,24,21512,302,174,104,0,24,21210,11689,8774,346,120,0,0,281,0,281,11398,16553,7624,8929,21512,10230,11282,90.7,1266,1337,1364,1450,1339,2239,2434,2893,1608,1522,2343,1136,581,42.3,4920,17132,16592,15905,4951,4060,16592,7634,8958,85.2,4060,1789,2271
Montgomery County,Alabama,01101,27135,62053,48749,71.7,226941,222824,4117,222824,82862,130866,414,158,13,0,2,6104,1429,530,347,155,2577,412,654,56,10,13,23,10,2522,4117,1279,580,948,204,226941,86109,132966,1378,7581,229,3113,226941,7749,4521,513,209,2506,219192,78393,130513,283,6059,39,189,3716,294,3422,104355,167361,77231,90130,226941,107354,119587,89.8,15315,15403,14135,15037,17009,32995,28523,28050,14899,13392,18646,10145,3392,36.2,53669,179544,173272,163834,40008,32183,173272,80165,93107,86.1,32183,13437,18746
Morgan County,Alabama,01103,10785,31640,23954,76.3,119122,116811,2311,116811,95966,15228,740,553,0,0,4,775,284,167,100,0,83,29,112,48,41,0,7,0,4054,2311,640,1227,232,10,119122,98193,15987,2067,1050,48,4177,119122,9691,6769,619,73,2230,109431,90497,15141,713,775,48,89,2168,26,2142,51951,88277,42580,45697,119122,58660,60462,97,7059,8221,7124,7610,6847,14623,15011,16727,8293,7742,11631,6030,2204,40.4,27384,94987,91738,87927,24664,19865,91738,44595,47143,94.6,19865,8599,11266
Perry County,Alabama,01105,1387,3166,2425,69.1,9486,9486,0,9486,2838,6588,6,5,0,0,0,21,0,13,0,8,0,0,0,0,0,0,0,0,33,0,0,0,0,0,9486,2838,6588,6,21,0,33,9486,89,39,19,5,26,9397,2798,6569,6,21,0,3,0,0,0,4751,7359,3338,4021,9486,4436,5050,87.8,514,367,797,1007,986,634,1295,882,625,615,1050,499,215,37.7,2069,7699,7417,6505,2185,1764,7417,3396,4021,84.5,1764,721,1043
Pickens County,Alabama,01107,2979,6089,4125,77.1,20298,20037,261,20037,11362,8367,25,0,0,0,0,13,0,0,2,0,0,0,11,8,8,0,0,0,262,261,153,66,9,5,20298,11610,8531,96,36,8,284,20298,932,708,41,31,152,19366,10925,8148,25,13,8,8,239,0,239,9557,15741,7554,8187,20298,9708,10590,91.7,1034,996,1187,1294,1222,2645,2373,3002,1545,1271,2137,1068,524,42.4,4002,16837,16296,15473,4291,3729,16296,7631,8665,88.1,3729,1624,2105
Pike County,Alabama,01109,3605,9611,7071,80.1,33403,32607,796,32607,18960,12697,209,1,0,0,0,715,49,340,2,0,21,287,16,3,0,0,3,0,23,796,477,150,27,32,33403,19693,13247,400,785,71,73,33403,263,130,45,15,73,33140,18765,12661,209,715,3,21,766,0,766,16077,25723,12055,13668,33403,16027,17376,92.2,1861,1762,1846,2875,5801,3973,3338,3453,1913,1695,2819,1564,503,30.8,6539,27676,26864,23391,5765,4886,26864,12659,14205,89.1,4886,2173,2713
Randolph County,Alabama,01111,3071,5834,5792,79.8,22574,22244,330,22244,17443,4547,51,0,0,0,0,68,24,0,44,0,0,0,0,51,0,51,0,0,84,330,283,6,0,0,22574,17747,4856,57,76,77,99,22574,665,366,175,25,99,21909,16991,4413,51,68,51,13,322,7,315,12056,17428,8317,9111,22574,10989,11585,94.9,1290,1432,1300,1542,1272,2427,2615,2943,1408,1833,2672,1415,425,42.7,4914,18218,17660,16739,5515,4512,17660,8418,9242,91.1,4512,2003,2509
Russell County,Alabama,01113,6977,16289,13572,69.7,58213,55808,2405,55808,29256,24957,165,43,0,0,0,518,47,26,309,31,73,16,16,72,0,0,0,72,840,2405,1001,350,241,357,58213,31235,26453,1026,819,110,1154,58213,3120,1208,914,13,985,55093,27354,24787,160,451,72,240,2029,11,2018,27426,43013,20361,22652,58213,28124,30089,93.5,4258,4630,3201,3421,3753,8903,7452,7567,3899,3353,4652,2376,748,35.9,14358,45527,43855,42152,9765,7776,43855,20857,22998,90.7,7776,3193,4583
Shelby County,Alabama,01117,16496,59449,37617,80.4,211261,207332,3929,207332,169598,25455,468,360,0,0,40,4249,1045,1045,121,138,554,987,359,47,21,8,0,18,7515,3929,1539,734,1005,83,211261,173259,27228,1366,5423,189,7820,211261,12125,8548,663,472,2442,199136,165058,25166,468,4249,47,471,3677,111,3566,86077,154250,73576,80674,211261,102478,108783,94.2,12500,14065,14839,14336,12099,26306,29791,30193,13510,13497,18739,8676,2710,38.9,50611,166663,160650,152790,37765,30125,160650,76794,83856,91.6,30125,13424,16701
St. Clair County,Alabama,01115,9416,24227,19824,82.8,87306,86225,1081,86225,76224,8252,315,272,0,0,0,737,268,197,186,32,3,23,28,8,8,0,0,0,689,1081,313,397,173,0,87306,77258,8602,712,920,24,871,87306,2089,802,438,96,753,85217,75109,8212,285,700,8,0,903,16,887,36628,66472,32780,33692,87306,43755,43551,100.5,5241,5279,6058,5144,4886,11293,11386,12473,6314,5341,8546,4155,1190,40.3,19998,69474,67308,64714,17254,13891,67308,33225,34083,97.5,13891,6294,7597
Sumter County,Alabama,01119,1752,4167,3195,66.4,12985,12952,33,12952,3201,9346,8,0,0,0,0,338,0,308,0,0,0,3,27,0,0,0,0,0,59,33,19,10,0,0,12985,3230,9369,18,338,0,63,12985,13,0,0,0,13,12972,3201,9345,8,338,0,51,29,0,29,6858,10207,4521,5686,12985,6014,6971,86.3,702,693,661,1385,1686,1154,1217,1453,993,843,1184,767,247,35.8,2522,10765,10463,9128,2666,2198,10463,4662,5801,80.4,2198,877,1321
Talladega County,Alabama,01121,10392,23805,22392,79.9,80565,79251,1314,79251,51720,26010,345,52,38,0,0,470,150,12,62,0,19,50,177,28,24,0,4,0,678,1314,714,319,121,20,80565,52975,26786,724,641,75,740,80565,1818,957,208,12,641,78747,50655,25992,301,450,28,70,1251,26,1225,37669,62423,29841,32582,80565,39156,41409,94.6,4301,5040,4796,5044,5262,9849,10058,11046,5609,5803,8317,4037,1403,41.1,17348,65443,63217,60290,16981,13757,63217,30394,32823,92.6,13757,6112,7645
Tallapoosa County,Alabama,01123,4456,10780,8380,83.3,40636,40236,400,40236,28251,11145,130,64,0,0,0,155,10,142,1,0,0,0,2,0,0,0,0,0,555,400,144,125,91,0,40636,28649,11293,278,269,0,572,40636,954,765,0,0,189,39682,28000,11012,130,155,0,0,385,2,383,22310,31753,15086,16667,40636,19517,21119,92.4,2211,2650,2217,2712,2264,4290,4342,5475,3055,3146,5035,2389,850,43.7,8574,33023,32062,30393,9886,8274,32062,15284,16778,91.1,8274,3761,4513
Tuscaloosa County,Alabama,01125,18708,55543,42278,75.2,206213,203888,2325,203888,132877,65260,393,81,0,0,8,3302,425,846,443,19,469,448,652,73,0,0,23,50,1983,2325,620,675,496,253,206213,134910,66214,1362,3852,128,2128,206213,7437,4726,230,141,2340,198776,127767,65058,283,3282,73,114,2199,64,2135,90576,158338,74954,83384,206213,99539,106674,93.3,12348,11967,11702,19497,23145,30419,24569,23067,11711,12103,15432,7335,2918,32.7,43176,167611,163037,145713,33182,25685,163037,77518,85519,90.6,25685,11023,14662
Walker County,Alabama,01127,7285,19075,15472,77.6,64493,63320,1173,63320,58547,4007,109,20,9,0,5,319,0,196,0,14,9,4,96,0,0,0,0,0,338,1173,436,580,80,47,64493,59673,4490,736,399,30,338,64493,1545,614,182,14,735,62948,57475,3954,55,309,0,80,1075,0,1075,31057,49635,23784,25851,64493,31506,32987,95.5,3986,4028,3811,4003,3691,7589,7611,8705,4749,4296,7127,3681,1216,42.4,14353,51826,50140,47924,14506,12024,50140,24072,26068,92.3,12024,5252,6772
Washington County,Alabama,01129,1556,3969,4168,83.9,16643,16383,260,16383,11003,4086,1227,227,0,0,0,62,45,1,11,0,0,0,5,0,0,0,0,0,5,260,93,150,17,0,16643,11263,4179,1377,79,0,5,16643,182,168,0,0,14,16461,10835,4086,1218,62,0,0,260,0,260,8509,12879,6454,6425,16643,8420,8223,102.4,616,889,1422,1203,1044,1696,1762,2475,1109,1389,1866,997,175,43.6,3703,13563,12940,12233,4058,3038,12940,6464,6476,99.8,3038,1386,1652
Wilcox County,Alabama,01131,1461,3904,2709,76.3,10809,10493,316,10493,2903,7511,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,316,22,27,267,0,10809,3219,7533,49,267,0,57,10809,70,2,0,0,68,10739,2901,7511,11,0,0,0,316,0,316,5728,8137,3777,4360,10809,5134,5675,90.5,666,497,930,847,665,1161,1303,1245,733,777,1152,595,238,40.8,2642,8573,8167,7652,2506,1985,8167,3807,4360,87.3,1985,859,1126
Winston County,Alabama,01133,3998,6542,6543,82.3,23875,23385,490,23385,23001,90,93,84,0,0,0,31,0,20,0,0,1,0,10,9,0,9,0,0,161,490,173,313,0,0,23875,23491,263,406,31,9,165,23875,734,615,22,11,86,23141,22428,90,93,31,9,0,490,4,486,13649,18698,9187,9511,23875,11840,12035,98.4,1246,1193,1653,1368,1231,2584,2675,3343,1874,1681,2985,1510,532,44.9,4992,19505,18883,17985,6059,5027,18883,9295,9588,96.9,5027,2269,2758
Aleutians East Borough,Alaska,02013,457,1633,837,87.6,3425,3160,265,3160,605,144,1349,0,0,0,27,878,0,0,837,12,0,28,1,25,0,0,11,14,159,265,2,147,26,3,3425,810,174,1552,948,36,197,3425,346,209,22,0,115,3079,515,117,1322,878,25,0,222,0,222,1106,2122,1221,901,3425,1989,1436,138.5,108,103,169,170,238,493,506,827,263,246,212,60,30,42.7,488,3003,2937,2845,459,302,2937,1736,1201,144.5,302,141,161
Aleutians West Census Area,Alaska,02016,374,2106,1340,95.3,5750,5358,392,5358,1699,246,651,23,0,0,0,2300,3,6,2007,47,42,175,20,148,7,3,109,29,314,392,7,113,90,8,5750,1939,273,820,2500,208,434,5750,798,575,2,7,214,4952,1389,246,634,2270,147,4,262,7,255,1967,3511,2308,1203,5750,3432,2318,148.1,240,359,240,275,529,998,854,1115,424,382,259,65,10,37.6,963,4878,4787,4535,513,334,4787,2966,1821,162.9,334,163,171
Anchorage Municipality,Alaska,02020,18094,64978,36260,88.2,296112,266985,29127,266985,186522,16439,21876,238,166,92,214,28445,436,1403,13692,782,3473,583,8076,6890,568,336,4542,1444,6813,29127,3930,12484,4368,1033,296112,212023,23201,37936,36141,9882,8897,296112,26847,14990,3655,318,7884,269265,173209,15671,20443,27938,6694,800,24510,278,24232,116493,212747,109333,103414,296112,151144,144968,104.3,21766,20547,19210,18426,24169,51563,37921,37363,19614,16041,19498,7368,2626,33.2,73197,230429,222915,211795,38267,29492,222915,113509,109406,103.8,29492,13825,15667
Bethel Census Area,Alaska,02050,717,3749,3048,95.7,18040,17346,694,17346,1986,119,14927,1,0,11,2,187,5,0,53,2,115,0,12,3,2,0,0,1,124,694,40,547,5,32,18040,2591,227,15534,239,45,139,18040,429,268,24,0,137,17611,1794,119,14838,187,3,0,670,0,670,6027,11411,5974,5437,18040,9381,8659,108.3,1863,1814,1743,1594,1349,2741,1964,1919,856,913,891,322,71,27.1,6447,12230,11593,10788,1874,1284,11593,6043,5550,108.9,1284,628,656
Bristol Bay Borough,Alaska,02060,121,295,191,174.2,890,809,81,809,501,4,291,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,2,8,81,0,62,4,4,890,567,8,368,14,6,8,890,32,15,3,0,14,858,480,4,291,3,2,0,78,0,78,940,686,419,267,890,526,364,144.5,52,51,59,45,38,91,135,155,104,75,53,25,7,41.8,194,720,696,682,131,85,696,426,270,157.8,85,54,31
Denali Borough,Alaska,02068,131,386,347,157.1,2232,1978,254,1978,1810,18,44,0,2,0,0,101,0,10,20,12,0,0,59,0,0,0,0,0,5,254,2,68,122,1,2232,2016,38,127,270,44,5,2232,9,9,0,0,0,2223,1810,18,44,101,0,5,245,0,245,1627,1797,874,923,2232,1117,1115,100.2,66,42,98,125,300,269,292,391,169,318,107,55,0,43.1,257,2011,1975,1795,372,162,1975,963,1012,95.2,162,99,63
Dillingham Census Area,Alaska,02070,270,1002,828,117.2,4975,4642,333,4642,875,67,3587,4,0,5,0,76,0,2,48,0,8,18,0,3,0,0,3,0,34,333,3,249,4,21,4975,1160,101,3905,112,19,34,4975,173,125,6,0,42,4802,789,67,3534,76,3,0,333,0,333,2446,3399,1802,1597,4975,2573,2402,107.1,478,430,394,379,392,728,557,542,312,333,273,124,33,30.3,1536,3602,3439,3202,656,430,3439,1826,1613,113.2,430,232,198
Fairbanks North Star Borough,Alaska,02090,5214,22644,13255,104.3,99653,91863,7790,91863,75281,4493,7233,138,422,9,128,3068,137,313,1264,250,393,237,474,561,61,57,417,26,1227,7790,1477,3622,1228,91,99653,82733,6808,11572,4970,981,1447,99653,7951,4040,1814,231,1866,91702,70188,4250,6693,2924,525,88,7034,62,6972,44059,73346,40571,32775,99653,53846,45807,117.5,7897,7016,5860,6192,10850,18315,12232,11030,5948,5189,6405,2146,573,31.1,24155,77606,75498,70672,11902,9124,75498,41359,34139,121.1,9124,4658,4466
Haines Borough,Alaska,02100,146,590,394,148.6,2518,2347,171,2347,2040,1,217,0,0,0,0,74,0,6,42,0,0,0,26,4,0,0,0,4,11,171,24,102,41,4,2518,2207,29,323,115,4,11,2518,97,95,0,0,2,2421,1959,1,212,74,4,0,171,0,171,1673,1886,1013,873,2518,1335,1183,112.8,159,143,183,123,38,301,317,343,202,95,512,92,10,44.9,558,2008,1960,1891,655,614,1960,1076,884,121.7,614,367,247
Hoonah-Angoon Census Area,Alaska,02105,258,518,282,112.8,2132,1947,185,1947,971,68,821,0,0,0,0,60,0,23,25,0,12,0,0,3,0,0,0,3,24,185,0,142,25,9,2132,1140,79,981,92,3,24,2132,142,101,9,0,32,1990,921,65,769,60,3,0,172,0,172,1656,1711,918,793,2132,1095,1037,105.6,102,109,85,52,104,226,218,339,240,242,312,89,14,50.2,330,1827,1802,1768,579,415,1802,960,842,114,415,220,195
Juneau City and Borough,Alaska,02110,1454,6432,4304,90.6,32330,29088,3242,29088,22182,325,3532,68,0,5,0,2314,78,191,1820,72,47,6,100,320,100,0,101,119,415,3242,128,1684,447,108,32330,25084,706,5864,3191,660,595,32330,2123,741,421,27,934,30207,21023,321,3414,2129,320,102,2898,11,2887,13586,24181,12151,12030,32330,16517,15813,104.5,1901,2043,1798,1992,2117,4848,4370,4605,2587,2192,2699,766,412,38.1,6982,26168,25348,24234,5079,3877,25348,12895,12453,103.5,3877,1843,2034
Kenai Peninsula Borough,Alaska,02122,4260,14498,9313,109.2,58220,54950,3270,54950,48489,370,4493,102,13,0,25,886,0,50,596,13,81,40,106,194,105,59,17,13,518,3270,174,2226,309,13,58220,51559,673,6954,1440,440,692,58220,2375,1421,123,54,777,55845,46954,317,4376,886,194,103,3015,0,3015,31150,44296,23312,20984,58220,30314,27906,108.6,3652,3551,3800,3643,3297,7262,6881,7606,4749,4687,6237,2096,759,40.8,13279,46420,44941,43057,11887,9092,44941,23564,21377,110.2,9092,4746,4346
Ketchikan Gateway Borough,Alaska,02130,1127,4064,2090,104.8,13804,12545,1259,12545,9219,103,2013,27,0,0,8,1062,50,21,925,9,24,4,29,5,0,4,0,1,143,1259,62,653,188,20,13804,10311,239,2880,1438,158,194,13804,701,381,82,27,211,13103,8838,103,1934,1025,5,60,1138,7,1131,6343,10265,5320,4945,13804,7060,6744,104.7,840,880,833,801,870,1860,1713,1905,991,1161,1306,446,198,39.6,3080,11024,10724,10258,2682,1950,10724,5530,5194,106.5,1950,998,952
Kodiak Island Borough,Alaska,02150,649,2737,2387,94.7,13649,12609,1040,12609,7284,36,1862,0,0,0,8,3144,4,17,2939,23,28,0,133,90,78,2,10,0,193,1040,9,396,69,2,13649,7932,95,2646,3409,122,601,13649,1219,767,74,19,359,12430,6753,27,1767,3141,57,44,641,20,621,5405,8643,4557,4086,13649,7281,6368,114.3,1077,1115,824,1032,817,2272,1795,1656,972,841,914,264,70,33.5,3574,10417,10075,9390,1630,1248,10075,5423,4652,116.6,1248,607,641
Kusilvak Census Area,Alaska,02158,209,1058,1222,82.4,8198,7896,302,7896,319,60,7480,0,0,0,0,32,0,0,28,0,4,0,0,2,2,0,0,0,3,302,0,239,12,22,8198,573,85,7770,53,19,3,8198,81,35,0,0,46,8117,298,23,7457,32,2,3,302,0,302,2225,4800,2583,2217,8198,4388,3810,115.2,1086,867,894,750,654,1262,724,788,448,269,299,138,19,23.8,3320,5184,4878,4458,594,456,4878,2648,2230,118.7,456,206,250
Lake and Peninsula Borough,Alaska,02164,131,418,298,75.8,1375,1290,85,1290,314,9,926,3,0,0,0,34,0,0,34,0,0,0,0,5,3,0,2,0,2,85,1,45,23,0,1375,383,10,984,61,20,2,1375,19,19,0,0,0,1356,305,9,916,34,5,2,85,0,85,1421,985,544,441,1375,710,665,106.8,97,103,101,92,132,199,162,164,114,102,62,40,7,33.5,373,1056,1002,954,169,109,1002,548,454,120.7,109,47,62
Matanuska-Susitna Borough,Alaska,02170,6686,25963,15179,102.7,103464,95083,8381,95083,85927,1121,5888,99,94,12,78,1437,30,125,659,58,194,8,363,226,32,73,43,78,484,8381,756,5083,932,131,103464,93836,2440,11585,2930,849,876,103464,4944,2609,688,235,1412,98520,82220,1022,5751,1433,195,207,7692,173,7519,41756,73772,38736,35036,103464,53912,49552,108.8,7526,7753,8152,7089,6523,14651,13700,13351,7385,6304,7588,2623,819,35,28102,78437,75362,71612,14480,11030,75362,39409,35953,109.6,11030,5588,5442
Nome Census Area,Alaska,02180,408,2511,1226,114.5,9925,9312,613,9312,1601,89,7396,8,0,0,0,160,1,3,89,2,5,59,1,43,32,0,2,9,23,613,4,476,14,38,9925,2155,133,7978,221,71,30,9925,253,143,46,5,59,9672,1464,83,7322,155,43,0,605,1,604,4078,6363,3395,2968,9925,5240,4685,111.8,957,1008,918,799,768,1495,1112,1063,670,393,520,193,29,28.1,3404,6886,6521,6136,951,742,6521,3497,3024,115.6,742,396,346
North Slope Borough,Alaska,02185,390,3104,2326,132.2,9797,9097,700,9097,3099,84,5093,2,0,0,0,548,19,35,421,0,29,4,40,175,32,1,85,57,98,700,16,355,48,45,9797,3608,279,5679,673,311,108,9797,207,112,19,0,76,9590,3043,75,5068,540,169,0,695,5,690,2583,7011,4674,2337,9797,6116,3681,166.2,813,764,611,534,565,1668,1221,1523,946,525,463,131,33,34.8,2540,7530,7257,6992,907,627,7257,4775,2482,192.4,627,357,270
Northwest Arctic Borough,Alaska,02188,695,2160,1156,81.2,7734,7445,289,7445,859,87,6382,0,0,0,0,76,3,0,27,1,34,0,11,0,0,0,0,0,41,289,33,196,14,4,7734,1135,128,6618,123,33,42,7734,89,53,5,1,30,7645,842,77,6379,76,0,0,271,1,270,2741,4965,2724,2241,7734,4156,3578,116.2,810,833,683,624,598,1223,810,855,395,307,361,183,52,27.2,2720,5279,5014,4706,784,596,5014,2750,2264,121.5,596,267,329
Petersburg Census Area,Alaska,02195,227,632,577,95.8,3255,2931,324,2931,2346,23,237,26,0,0,0,302,0,38,149,21,25,4,65,17,0,0,17,0,6,324,6,118,81,4,3255,2613,37,410,457,78,12,3255,337,181,15,3,138,2918,2050,23,221,299,17,1,307,2,305,1762,2398,1258,1140,3255,1649,1606,102.7,206,217,197,198,302,320,334,334,259,187,462,188,51,41,734,2597,2521,2398,809,701,2521,1285,1236,104,701,343,358
Prince of Wales-Hyder Censu,Alaska,02198,582,1940,941,129.7,6474,5801,673,5801,3053,24,2583,0,17,16,2,76,0,7,52,9,0,8,0,41,0,7,0,34,24,673,35,541,19,13,6474,3696,78,3176,127,56,42,6474,244,174,4,0,66,6230,2936,24,2533,76,41,9,611,9,602,3428,4859,2687,2172,6474,3514,2960,118.7,394,443,451,387,327,786,718,950,540,518,683,243,34,41,1538,5099,4936,4731,1224,960,4936,2710,2226,121.7,960,542,418
